id,question,cot,answer,unit
LD154,"Two charges q1 = +7 × 10^-8 C and q2 = -7 × 10^-8 C are placed at two points A and B, 6 cm apart. A charge q3 = -7 × 10^-8 C is placed at the midpoint of AB. Calculate the electric force acting on q3.","Step 1: Identify the given charges and distances.
Step 2: Determine the distances from q1 and q2 to q3.
Step 3: State Coulomb's Law and the constant k.
Step 4: Calculate the force (F13) exerted by q1 on q3.
Step 5: The magnitude of the net electric force acting on q3 is exactly 0.098 N.",0.098,N
LD240,Three charges q1 = q2 = q3 = -2 × 10^-8 C are placed at the three vertices of an equilateral triangle with side length 10 cm. Calculate the net electric force acting on q3.,"Step 1: Identify the given charges and their magnitudes.
Step 2: Identify the distance between the charges and the Coulomb's constant.
Step 3: Calculate the magnitude of the electrostatic force between any two charges using Coulomb's Law.
Step 4: Determine the direction of the forces acting on q3 due to q1 and q2.
Step 5: The magnitude of the net electric force acting on q3 is approximately 0.624 ×10^-3 N.",0.624*10^-3,N
LD237,"Two charges, q1 = +3 × 10^-7 C and q2 = -3 × 10^-7 C, are placed at two points A and B, separated by 6 cm. A third charge, q3 = -3 × 10^-7 C, is placed at the midpoint of AB. Calculate the electric force acting on q3.","Step 1: Identify the given charges and their positions.
Step 2: Convert the total distance between points A and B from centimeters to meters.
Step 3: Determine the distance of charge q3 from q1 (r13) and from q2 (r23), as q3 is at the midpoint of AB.
Step 4: Calculate the magnitude of the electric force exerted by q1 on q3 (F13) using Coulomb's Law, F = k * |q1 * q3| / r13², where k = 9 × 10^9 N·m²/C².
Step 5: The magnitude of the net electric force acting on q3 is 1.8 N.",1.8,N
LD294,"Two point charges, q1 = +8 × 10^-6 C and q2 = -8 × 10^-6 C, are placed at points A and B, separated by 12 cm. A test charge q = 10^-8 C is placed at point M, which lies on the perpendicular bisector of AB, 4 cm away from AB. Calculate the net electric force acting on q. Give your answer rounded to three decimal places.","Step 1: Identify the given values and convert distances to SI units. The charges are q1 = +8 × 10⁻⁶ C, q2 = -8 × 10⁻⁶ C, and the test charge q = 10⁻⁸ C. The separation AB = 12 cm = 0.12 m, so the distance from the midpoint O to A or B is 0.06 m. The distance from the midpoint O to point M is 4 cm = 0.04 m. The Coulomb's constant is k = 9.0 × 10⁹ N·m²/C².
Step 2: Determine the distance r from each point charge (q1 at A, q2 at B) to the test charge (q at M). Using the Pythagorean theorem for the triangle AOM, r = √(0.06² + 0.04²) = √0.0052 m.
Step 3: Calculate the square of the distance AM (and BM). r² = (√0.0052)² = 0.0052 m².
Step 4: Calculate the magnitude of the electric force F1 exerted by q1 on q and F2 exerted by q2 on q using Coulomb's Law, F = k * |q1 * q| / r², where F1 = F2 = (9.0 × 10⁹ N·m²/C²) * (8 × 10⁻⁶ C) * (10⁻⁸ C) / 0.0052 = 0.1385 × 10⁻³ N.
Step 5: Calculate the magnitude of the net force using the vector addition rule for symmetric forces on a perpendicular bisector. Since F1 is repulsive and F2 is attractive, their vertical components cancel, and the net force is directed parallel to AB. The net force is F13 + F23, where F_net = 2 * F1 * cos(θ). With cos(θ) = 0.06 / √0.0052, F_net = 2 * (0.1385 × 10⁻³ N) * (0.06 / 0.07211) = 0.230 × 10⁻³ N.",0.230 × 10⁻³,N
CH074,What capacitance (C) is needed to achieve resonance with L = 0.5 H at a frequency (f) of 71 Hz?,"Step 1: Identify the formula for resonant frequency (f) in an LC circuit: f = 1 / (2π√(LC)).
Step 2: Rearrange the formula to solve for capacitance (C): C = 1 / (4π²Lf²).
Step 3: Substitute the given values L = 0.5 H and f = 71 Hz into the rearranged formula.
Step 4: Calculate C = 1 / (4π² * 0.5 * 71²) = 10.05 μF.",10.05,μF
CH211,"Consider a series RLC circuit with fixed components. At an angular frequency ω0, the inductive reactance X_L = 15 Ω and the capacitive reactance X_C = 60 Ω. To what multiple of ω0 must the angular frequency be adjusted for the circuit to resonate?","Step 1: The initial inductive reactance X_L at angular frequency ω0 is 15 Ω, and the initial capacitive reactance X_C at ω0 is 60 Ω.
Step 2: The inductive reactance is given by X_L = ωL, and the capacitive reactance is given by X_C = 1/(ωC).
Step 3: From the given values at ω0, we have 15 Ω = ω0L and 60 Ω = 1/(ω0C).
Step 4: The condition for resonance in a series RLC circuit is when the inductive reactance equals the capacitive reactance, X_L = X_C. Let the resonant angular frequency be ω_res. Then, angular frequency must be multiplied by 2.",2.0,-
CH172,"An RMS voltage U = 150 V is applied to a series RLC circuit with R = 100 Ω. The circuit is currently in resonance. Calculate the maximum power consumed, Pmax.","Step 1: The given RMS voltage is U = 150 V.
Step 2: The given resistance is R = 100 Ω.
Step 3: The question states that the circuit is currently in resonance.
Step 4: In a series RLC circuit at resonance, the total impedance (Z) is equal to the resistance (R), and the power consumed is maximum. Then, Pmax = 225 W.",225,W
NL116,An inductor has a current of 2.2 A and a magnetic energy of 1.21 mJ. Calculate the inductance (H).,"Step 1: Identify the given values: current (I) = 2.2 A and magnetic energy (E) = 1.21 mJ.
Step 2: Convert the magnetic energy from millijoules to joules: E = 1.21 * 10^-3 J.
Step 3: Recall the formula for the magnetic energy stored in an inductor: E = (1/2) * L * I^2.
Step 4: Rearrange the formula to solve for inductance (L): L = 2 * E / I^2 = 0.0005 H.",0.0005,H
CH262,"In an RLC circuit, XL = 10 Ω, XC = 160 Ω, and the source voltage U = 120 V. If the frequency is increased by 4 times, what is the RMS voltage across the resistor R?","Step 1: Change in parameters when frequency is increased fourfold (f' = 4f)
Inductive reactance Z_L is directly proportional to frequency so Z_L' = 4 · 10 = 40 Ω. Capacitive reactance Z_C is inversely proportional to frequency so Z_C' = 160 / 4 = 40 Ω.
Step 2: Determine the circuit state
Because Z_L' = Z_C' = 40 Ω the circuit reaches electrical resonance.
Step 3: Calculate the voltage across the resistor R
At the resonance state, the voltages across the inductor and capacitor cancel each other out completely (U_L = U_C). Therefore the RMS voltage across the resistor (U_R) is exactly equal to the source voltage U. Therefore U_R = U = 120 V.",120,V
CH088,An inductor has L=1.2 H. What capacitor value is needed to achieve resonance at 40 Hz?,"Step 1: Identify the given values from the question: Inductance L = 1.2 H and resonant frequency f = 40 Hz.
Step 2: Recall the formula for the resonant frequency of an LC circuit: f = 1 / (2π√(LC)).
Step 3: Rearrange the formula to solve for capacitance C: C = 1 / (4π²Lf²).
Step 4: Substitute the given values into the rearranged formula: C = 1 / (4π² * 1.2 * 40²) = 13.19 μF.",13.19,μF
